    	BSIMAC 	CSE	    DeST 	Energy+	ESP-r	NewHASP	TRNSYS			
Case	T (°C)	T (°C)	T (°C)	T (°C)	T (°C)	T (°C)	T (°C)
600FF 	-9.9	-12.9	-13.5	-12.6	-13.5	-12.3	-13.8
900FF 	0.6 	2.2 	1.3 	1.2 	1.6 	2.5 	0.6
650FF 	-16.7	-17.8	-17.4	-17.1	-17.5	-15.8	-17.5
950FF 	-13.2	-13.2	-13.4	-12.8	-12.5	-11.1	-12.8

