Case	Metrik	NANDRAD	EnergyPlus	TRNSYS	Ref Min	Ref Max	Status
685	Jährliche Kühlenergie [MWh]	8.9849	1.9191	8.8513	8.238	9.919776	PASS
685	Spitzenheizlast [kW]	2.9418	2.7849	3.3744	3.031857	3.374427	FAIL
685	Spitzenkühllast [kW]	6.7976	2.7815	6.8674	6.071	7.4592	PASS
695	Jährliche Heizenergie [MWh]	2.7036	3.9861	2.8859	2.385	2.89174	PASS
695	Jährliche Kühlenergie [MWh]	9.2627	1.9191	9.0391	8.386	10.126306	PASS
695	Spitzenheizlast [kW]	1.9333	2.7849	2.1177	1.795326	2.138	PASS
695	Spitzenkühllast [kW]	7.0325	2.7815	7.1752	6.232	7.7232	PASS
900	Heizenergie Jan [kWh]	247.09	835.44	291.94	206.1	291.9	PASS
900	Heizenergie Feb [kWh]	292.23	741.47	322.14	243.2	322.1	PASS
900	Heizenergie Mar [kWh]	131.8	329.1	143.84	102.4	143.8	PASS
900	Heizenergie Apr [kWh]	274.17	340.4	275.47	214.2	275.7	PASS
900	Heizenergie May [kWh]	36.8	32.67	37.5	20.1	37.5	PASS
900	Heizenergie Jun [kWh]	0.0	0.0	0.0	0.0	0.0	PASS
900	Heizenergie Jul [kWh]	0.0	0.0	0.0	0.0	0.0	PASS
900	Heizenergie Aug [kWh]	0.0	0.0	0.0	0.0	0.0	PASS
900	Heizenergie Sep [kWh]	0.04	2.16	0.54	0.0	2.1	PASS
900	Heizenergie Oct [kWh]	83.67	195.35	85.01	63.6	85.0	PASS
900	Heizenergie Nov [kWh]	287.06	679.05	318.24	251.6	318.2	PASS
900	Heizenergie Dec [kWh]	294.52	830.44	333.38	254.7	339.4	PASS
900	Kühlenergie Jan [kWh]	93.13	0.0	44.63	33.5	100.1	PASS
900	Kühlenergie Feb [kWh]	40.37	0.0	9.24	4.7	42.5	PASS
900	Kühlenergie Mar [kWh]	110.89	0.0	50.55	40.9	144.1	PASS
900	Kühlenergie Apr [kWh]	36.03	0.74	16.05	12.3	71.2	PASS
900	Kühlenergie May [kWh]	123.2	143.29	98.35	98.4	210.7	PASS
900	Kühlenergie Jun [kWh]	395.33	545.28	365.82	365.8	512.9	PASS
900	Kühlenergie Jul [kWh]	385.87	509.98	365.51	365.5	510.7	PASS
900	Kühlenergie Aug [kWh]	514.24	460.48	487.57	485.7	620.9	PASS
900	Kühlenergie Sep [kWh]	524.25	247.22	458.86	458.9	573.9	PASS
900	Kühlenergie Oct [kWh]	343.85	12.13	260.85	260.9	358.6	PASS
900	Kühlenergie Nov [kWh]	106.88	0.0	60.18	56.2	104.1	FAIL
900	Kühlenergie Dec [kWh]	102.31	0.0	49.5	38.1	95.9	FAIL
900	Jährliche Heizenergie [MWh]	1.6474	3.9861	1.8081	1.378891	1.81403	PASS
900	Jährliche Kühlenergie [MWh]	2.7763	1.9191	2.2671	2.26713	3.345562	PASS
900	Spitzenheizlast [kW]	2.5798	2.7849	2.7785	2.44339	2.778478	PASS
900	Spitzenkühllast [kW]	3.1745	2.7815	2.9401	2.556	3.768	PASS
900FF	Max. Lufttemperatur [°C]	45.5	27.0	43.25	43.252232	46.17	PASS
900FF	Min. Lufttemperatur [°C]	1.81	20.0	0.64	0.6	2.49	PASS
900FF	Mittl. Lufttemperatur [°C]	25.7	22.88	24.47	24.4623	26.72271	PASS
910	Jährliche Heizenergie [MWh]	2.012	3.9861	2.1258	1.647682	2.163	PASS
910	Jährliche Kühlenergie [MWh]	1.5528	1.9191	1.1909	1.19086	1.748174	PASS
910	Spitzenheizlast [kW]	2.6007	2.7849	2.7992	2.469025	2.799195	PASS
910	Spitzenkühllast [kW]	2.5119	2.7815	2.081	2.081035	2.7648	PASS
920	Jährliche Heizenergie [MWh]	3.2941	3.9861	3.5991	2.956069	3.6067	PASS
920	Jährliche Kühlenergie [MWh]	2.9638	1.9191	2.5489	2.54887	3.257059	PASS
920	Spitzenheizlast [kW]	2.6565	2.7849	2.8643	2.512426	2.895	PASS
920	Spitzenkühllast [kW]	3.2962	2.7815	3.1541	2.71	3.672	PASS
930	Jährliche Heizenergie [MWh]	3.848	3.9861	4.3762	3.523647	4.3841	PASS
930	Jährliche Kühlenergie [MWh]	2.2637	1.9191	1.6718	1.6538	2.161	FAIL
930	Spitzenheizlast [kW]	2.6726	2.7849	2.9004	2.536968	2.968	PASS
930	Spitzenkühllast [kW]	2.8387	2.7815	2.6131	2.335	3.052	PASS
940	Jährliche Heizenergie [MWh]	1.0592	3.9861	1.1642	0.863236	1.389	PASS
940	Jährliche Kühlenergie [MWh]	2.6692	1.9191	2.2035	2.20346	2.613	FAIL
940	Spitzenheizlast [kW]	3.301	2.7849	3.4048	3.051914	3.882	PASS
940	Spitzenkühllast [kW]	3.1751	2.7815	2.9376	2.556	3.376435	PASS
950	Jährliche Heizenergie [MWh]	0.0	3.9861	0.0	0.0	0.0	PASS
950	Jährliche Kühlenergie [MWh]	0.809	1.9191	0.6416	0.586	0.90048	PASS
950	Spitzenheizlast [kW]	0.0	2.7849	0.0	0.0	0.0	PASS
950	Spitzenkühllast [kW]	2.5606	2.7815	2.2364	2.054	2.928	PASS
950FF	Max. Lufttemperatur [°C]	37.77	27.0	36.13	36.126665	37.1	FAIL
950FF	Min. Lufttemperatur [°C]	-12.53	20.0	-12.8	-13.36	-11.14	PASS
950FF	Mittl. Lufttemperatur [°C]	14.97	22.88	14.69	14.35	15.522804	PASS
960	Jährliche Heizenergie [MWh]	2.7442	3.9861	2.8535	2.522072	2.85954	PASS
960	Jährliche Kühlenergie [MWh]	0.6735	1.9191	0.789	0.788958	0.955762	FAIL
960	Spitzenheizlast [kW]	1.8797	2.7849	2.3004	2.085	2.300402	FAIL
960	Spitzenkühllast [kW]	1.2715	2.7815	1.3385	1.338487	1.479919	FAIL
980	Jährliche Heizenergie [MWh]	0.4006	3.9861	0.4474	0.245766	0.72	PASS
980	Jährliche Kühlenergie [MWh]	4.1923	1.9191	3.5185	3.501	5.207938	PASS
980	Spitzenheizlast [kW]	1.5982	2.7849	1.5921	1.25379	1.693	PASS
980	Spitzenkühllast [kW]	3.6355	2.7815	3.3126	2.93	4.2288	PASS
980FF	Max. Lufttemperatur [°C]	53.45	27.0	48.54	48.540639	55.95	PASS
980FF	Min. Lufttemperatur [°C]	11.69	20.0	9.47	7.3	13.11	PASS
980FF	Mittl. Lufttemperatur [°C]	32.66	22.88	30.5	30.492	36.362946	PASS
985	Jährliche Heizenergie [MWh]	2.5728	3.9861	2.5304	2.12021	2.870693	PASS
985	Jährliche Kühlenergie [MWh]	6.8015	1.9191	6.1135	5.88	7.75909	PASS
985	Spitzenheizlast [kW]	2.5906	2.7849	2.7854	2.452163	2.785441	PASS
985	Spitzenkühllast [kW]	3.9748	2.7815	3.8847	3.208	4.5312	PASS
995	Jährliche Heizenergie [MWh]	1.0984	3.9861	1.0737	0.755182	1.33	PASS
995	Jährliche Kühlenergie [MWh]	7.6482	1.9191	7.0638	6.771	8.610787	PASS
995	Spitzenheizlast [kW]	1.6664	2.7849	1.662	1.369555	1.711	PASS
995	Spitzenkühllast [kW]	4.1788	2.7815	4.1149	3.315	4.9248	PASS
